rank,team,matches_played,wins,losses,nrr,points
1,Janakpur Bolts,7,5,2,+0.164,10
2,Sudurpaschim Royals,7,6,1,+2.087,12
3,Karnali Yaks,7,4,3,+0.300,8
4,Chitwan Rhinos,7,4,3,+0.634,8
5,Kathmandu Gurkhas,7,4,3,-0.321,8
6,Biratnagar Kings,7,2,5,-0.703,4
7,Pokhara Avengers,7,2,5,-1.332,4
8,Lumbini Lions,7,1,6,-0.498,2
