player,runs,balls,boundary_fours,boundary_sixes,strike_rate,team,opposition,ground,match_date
Gulsan Jha,36,27,1,3,133.33,Karnali,v Janakpur,Kirtipur,02 Dec 2024
D Kharel,61*,46,4,4,132.60,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
Gulsan Jha,49*,37,3,4,132.43,Karnali,v Pokhara,Kirtipur,10 Dec 2024
B Bhandari,41,31,1,3,132.25,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
B McMullen,25,19,1,1,131.57,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
DS Airee,38,29,4,1,131.03,S Paschim,v Karnali,Kirtipur,16 Dec 2024
SA Edwards,45,35,5,-,128.57,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
MJ Guptill,45,35,1,4,128.57,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
MJ Guptill,55,43,7,1,127.90,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
Hassan Eisakhil,65,52,6,3,125.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
B Bhandari,35,28,2,2,125.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
I Pandey,35,28,4,1,125.00,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
N Joshi,30,24,3,2,125.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
H Thaker,30*,24,-,2,125.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
Gulsan Jha,25,20,1,2,125.00,Karnali,v Janakpur,Kirtipur,19 Dec 2024
Aasif Sheikh,36,29,2,2,124.13,Janakpur,v Karnali,Kirtipur,02 Dec 2024
CAK Walton,42,34,6,1,123.52,Karnali,v Pokhara,Kirtipur,10 Dec 2024
RP Magar,25,21,1,1,119.04,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
TJ Moores,45,38,2,2,118.42,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
RA Reifer,33,28,2,2,117.85,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
MJJ Critchley,35,30,3,1,116.66,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
AK Sah,45,39,1,4,115.38,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
P Shrestha,39,34,2,2,114.70,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
K Thagunna,32,28,3,1,114.28,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
D Nath,27,24,-,2,112.50,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
SS Eskinazi,37,33,5,1,112.12,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
S Karki,28,25,3,1,112.00,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
Aarif Sheikh,42*,38,2,1,110.52,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
D Khanal,53,48,4,2,110.41,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
S Dhawan,45,41,4,1,109.75,Karnali,v Chitwan,Kirtipur,06 Dec 2024
S Kansakar,26,24,4,-,108.33,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
S Maharjan,40*,37,3,1,108.10,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
LM Benkenstein,31,29,3,1,106.89,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
I Pandey,38*,36,4,-,105.55,S Paschim,v Karnali,Kirtipur,16 Dec 2024
B Bhandari,58*,55,3,3,105.45,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
TJ Moores,36,35,4,1,102.85,Lumbini,v Karnali,Kirtipur,13 Dec 2024
