Id,Name,Captain,Players
BK,Biratnagar Kings,Sandeep Lamichhane,"Lokesh Bam,Pratish GC,Bashir Ahmad,Rajesh Pulami Magar,Jitendra Kumar Mukhiya,Anil Kharel,Dipak Bohara,Subhash Bhandari,Naren Bhatta,Mrinal Gurung,Chris Sole,Martin Guptill,Nicholas Kirton,Aqib Ilyas,Ismat Alam"
CWR,Chitwan Rhinos,Kushal Malla,"Rijan Dhakal,Kamal Singh Airee,Sharad Vesawkar,Bipin Rawal,Santosh Karki,Dipesh Shrestha,Amar Singh Rautela,Deepak Bohara,Ranjeet Kumar,Gautam KC,Jan Nicol Loftie-Eaton,Marchant De Lange,Luc Benkenstein,Hassan Eisakhil"
JB,Janakpur Bolts,Aasif Sheikh,"Lalit Rajbanshi,Anil Kumar Sah,Rupesh K Singh,Kishore Mahato,Aakash Tripathi,Shubh Kansakar,Sher Malla,Hemant Dhami,Arniko Prasad Yadav,Tul Bahadur Thapa Magar,James Neesham,Sohaib Maqsood,Lahiru Milantha,Muhammad Mohsin,Joshua Tromp"
KNY,Karnali Yaks,Sompal Kami,"Gulshan Kumar Jha,Nandan Yadav,Mausam Dhakal,Arjun Gharti,Dev Khanal,Rit Gautam,Bhuban Karki,Dipendra Rawat,Dipak Dumre,Unish Bikram Singh Thakuri,Shikhar Dhawan,Chadwick Walton,Babar Hayat,Hussain Talat"
KMG,Kathmandu Gurkhas,Karan KC,"Shahab Alam,Bhim Sharki,RashId Khan,Shankar Rana,Dipesh Prasad Kandel,Sumit Maharjan,Krishna Karki,Bibek KC,Pratik Shrestha,Raju Rizal,Michael Levitt,Gerhard Erasmus,Stevie Sean Eskinazi,Dan Douthwaite"
LBL,Lumbini Lions,Rohit Kumar Paudel,"Surya Tamang,Bibek Yadav,Sundeep Jora,Aashutosh Ghiraiya,Tilak Raj Bhandari,Durgesh Gupta,Arjun Saud,Dinesh Adhikari,Abhishesh Gautam,Bikash Aagri,Unmukt Chand,Ben Cutting,Tom Moores"
PKA,Pokhara Avengers,Kushal Bhurtel,"Sagar Dhakal,Aakash Chand,Kiran Kumar Thagunna,Narayan Joshi,Bipin Khatri,Dilip Nath,Trit Raj Das,Sunam Gautam,Dinesh Kharel,Amrit Gurung,Anderson Phillip,Bas De Leede,Andries Gous,Matt Critchley,Raymon Reifer,Michael Leask"
SPR,Sudurpaschim Royals,Dipendra Singh Airee,"Md Aarif Sheikh,Abinash Bohara,Binod Bhandari,Ishan Pandey,Arjun Kumal,Khadak Bahadur Bohara,Naresh Budhayer,Bhoj Raj Bhatta,Amit Shrestha,Naren Saud,Rohan Mustafa,Scott Kuggeleijn,Saif Zaib,Brandon McMullen"
